Character,Dialogue,Context,fr,it,de,es,ru,ptbr,zht,zhs,JP,ko,tr,
,Thanks for the pie. Bit too long in the oven though.,,Merci pour la tarte. Mais elle est restée un peu trop longtemps au four.,Grazie per la torta. Era un pizzico troppo cotta per i miei gusti.,Danke für den Kuchen. Allerdings war er etwas zu lange im Ofen.,Gracias por el pastel. Aunque te has pasado de horno.,"Спасибо за пирог. Правда, его слегка передержали в печи.","Obrigada pela torta, mas acho que passou um pouco do ponto.",感謝妳的派，不過烤得有點太久了。,Turta icin sag ol. Ama firinda biraz fazla kalmis sanki.,パイをありがとう。でも、ちょっとオーブンに入れすぎじゃない？,파이 고마워. 오븐에 너무 오래 뒀네.,Turta icin sag ol. Ama firinda biraz fazla kalmis sanki.,
,"I am simply exhausted. Stop talking to me, darling.",,"Je suis épuisée. Arrête de me parler, ma chérie.","Sono semplicemente stanca. Non voglio parlare, cara.","Ich bin einfach erschöpft. Hör auf, mit mir zu reden, Liebling.","Estoy agotada. Déjame en paz un ratito, cariño.","Я очень устала. Хватит лезть ко мне с разговорами, дорогуша.","Estou simplesmente exausta. Pare de falar comigo, querida.",我真的累翻了，別再跟我說話了，親愛的。,"Gercekten cok yorgunum. Benimle konusmayi kes artik, tatlim.",今すごくつかれてるの。私に話しかけないで、ダーリン。,너무 피곤해. 말 좀 그만 걸어.,"Gercekten cok yorgunum. Benimle konusmayi kes artik, tatlim.",
,Don't you have somewhere better to be? I need my beauty rest...,,Tu ne peux pas aller voir ailleurs si j'y suis ? Je dois me reposer pour rester belle...,Non hai niente di meglio da fare? È il momento del mio riposino di bellezza...,Hast du nichts Besseres zu tun? Ich brauche meinen Schönheitsschlaf ...,¿No tienes otro sitio al que ir? Necesito descansar para estar bella...,"У тебя что, нет других дел? Мне нужен отдых...",Você não tem um lugar melhor para estar? Eu preciso do meu sono de beleza...,妳就不能找點更有意義的事做嗎？我需要好好睡個美容覺…,Gidecek daha iyi bir yerin yok mu? Guzellik uykuma ihtiyacim var...,他にやることはないの？私は美容のための睡眠をたっぷりとらなきゃ…,가서 할 일이 있지 않아? 난 피부를 위해 쉬어야 해...,Gidecek daha iyi bir yerin yok mu? Guzellik uykuma ihtiyacim var...,
,"Oh, Charles...",,"Oh, Charles...","Oh, Charles...","Oh, Charles ...","Ah, Charles...","Ах, Чарльз...","Oh, Charles...",哦，查爾斯…,"Ah, Charles...",ああ、チャールズ…,"오, 찰스...","Ah, Charles...",
,"You don't understand. I used to be in pageants. I used to be a star, little girl.",,"Tu ne comprends pas. Je participais à des concours. J'étais une star, petite.","Non capisci. Partecipavo alle gare di bellezza. Ero una vera star, mia cara.","Du verstehst das nicht. Ich habe früher an Schönheitswettbewerben teilgenommen. Ich war mal ein Star, kleines Mädchen.","No entiendes nada. Yo antes iba a concursos de belleza. Y era una estrella, niña.","Тебе не понять. Я участвовала в парадах. Я была настоящей звездой, девочка.","Você não entende. Eu cheguei a participar de concursos de beleza. Eu era uma estrela, garotinha.",妳不會懂的，小女孩。我以前參加過選美，我曾經可是位站在鎂光燈下的明星呢。,"Anlamiyorsun. Eskiden guzellik yarismalarina katilirdim. Bir zamanlar yildizdim, kucuk kiz.",あなたにはわからないでしょうけど、私はかつて美形コンテストに出ていたスターだったのよ、お嬢ちゃん。,"이해를 못하는 군. 난 예쁜 말 선발대회 출신이야. 말 계의 스타였다고, 꼬마야.","Anlamiyorsun. Eskiden guzellik yarismalarina katilirdim. Bir zamanlar yildizdim, kucuk kiz.",
,"Thanks for the meal, I was famished!",,"Merci pour le repas, j'avais très faim !","Grazie del pasto, ero proprio affamata!","Danke für das Essen, ich war am Verhungern!","¡Gracias por la comida, estaba hambrienta!","Спасибо за угощение, я умирала от голода!","Obrigada pela refeição, eu estava morrendo de fome!",多謝妳的招待，我可真是餓壞了呢。,"Yemek icin sag ol, acliktan oluyordum!",食事をありがとう。おなかペコペコだったの！,"식사는 고마워, 굶어 죽을 뻔 했네!","Yemek icin sag ol, acliktan oluyordum!",
,Lois was such a sweet girl. She would sit and comb my mane for hours. But then the baby came...,,Loïs était gentille. Elle brossait ma crinière pendant des heures. Puis le bébé est arrivé...,Lois è una donna tanto dolce. Si sedeva e mi pettinava la criniera per ore. Ma poi è arrivata la bambina...,Lois war so ein süßes Mädchen. Sie saß stundenlang da und kämmte meine Mähne. Aber dann kam das Baby ...,Lois era una niña tan cariñosa. Se pasaba las horas sentada peinándome la melena. Pero llegó el bebé...,Лоис была такой заботливой. Она могла часами расчесывать мою гриву. А потом появился ребенок...,Lois era uma menina tão doce. Ela ficava sentada penteando meu cabelo por horas. Mas aí chegou o bebê...,露易絲曾是那麼溫柔的女孩。她會靜靜坐著，細心替我梳理鬃毛好幾個小時，但自從那個孩子誕生之後…,Lois cok tatli bir kizdi. Saatlerce oturup yelelerimi tarardi. Sonra o bebek geldi...,ロイスはとてもやさしい子だった。何時間も座って私のたてがみを梳いてくれたの。そしたら赤ちゃんが生まれて…,로이스는 착한 아이였지. 앉아서 내 갈기를 한참 동안 빗어주곤 했어. 그런데 아기가 태어났지...,Lois cok tatli bir kizdi. Saatlerce oturup yelelerimi tarardi. Sonra o bebek geldi...,
,"That fire was a terrible thing. An atrocious conflagration. And to think, it all started with a swift kick to an oil lamp.",,Cet incendie a été terrible. Un embrasement fulgurant. Et dire que ça a commencé avec un petit coup qui a renversé une lampe à huile.,Quell'incendio fu tremendo. Una vampata atroce. E pensare che è iniziato tutto con un rapido calcio a una lampada a olio.,"Das Feuer war furchtbar. Eine schreckliche Feuersbrunst. Und wenn man bedenkt, dass alles mit einem Tritt gegen eine Öllampe angefangen hat.",Aquel incendio fue terrible. Algo atroz. Y pensar que todo empezó por una patadita a una lámpara de aceite...,"Пожар был просто ужасным. Огонь поглотил все. Даже странно, что все началось с простого удара копытом по керосиновой лампе.",Aquele incêndio foi uma coisa terrível. Uma explosão pavorosa. E pensar que tudo começou com um mero chute numa lamparina a óleo.,那場火災真是可怕極了…簡直是人間煉獄。而誰能想到，一切竟只是因為一腳踢翻了一盞油燈而開始的。,"O yangin korkunc bir seydi. Dehset verici bir felaket. Ve dusunmesi bile tuhaf, her sey gaz lambasina atilan bir tekmeyle basladi.",あの火事、とんでもなく恐ろしかったわ。あの凄まじい炎ときたら…石油ランプをちょっと蹴っただけであんなことになるなんて。,"정말 끔찍한 화재였어. 이루 말할 수 없는 참사였지. 지금 생각해 보니, 오일 램프를 누가 걷어차서 일어난 것 같아.","O yangin korkunc bir seydi. Dehset verici bir felaket. Ve dusunmesi bile tuhaf, her sey gaz lambasina atilan bir tekmeyle basladi.",
,I have some ideas...A little makeup. A nice dress. We cut that unruly mop of hair. We could make you a sight.,,J'ai quelques idées... Une touche de maquillage. Une jolie robe. On coupe cette tignasse. Tu serais charmante.,"Ho delle idee... Un po' di trucco, un bel vestito. Poi ci toccherà tagliare quel groviglio di capelli che hai. Diventeresti bellissima.",Ich habe ein paar Ideen ... Ein bisschen Make-up. Ein schönes Kleid. Wir schneiden den widerspenstigen Haarschopf. Wir könnten dich zu einer Augenweide machen.,"Se me han ocurrido un par de cosas... Un poco de maquillaje, un vestido bonito, retocamos esa pelambrera... y vas a quedar genial.",У меня есть парочка идей... Немного макияжа. Милое платьице. Обкромсать ужасную копну волос. Мы сделаем из тебя красавицу.,Tenho algumas ideias... Um pouco de maquiagem. Um belo vestido. Cortamos o cabelo bagunçado. Poderíamos te deixar deslumbrante.,我有些想法…畫點淡妝，穿條漂亮的裙子，再剪掉妳那亂蓬蓬的頭髮。讓妳煥然一新，驚艷全場。,Birkac fikrim var... Biraz makyaj. Guzel bir elbise. O daginik saclari keseriz. Seni bambaska biri yapabiliriz.,あなた…少し化粧して、素敵な服を着て、そのまとまりのない髪を切って整えれば、見違えるわよ。,좋은 생각이 있어... 화장을 좀 하고. 좋은 드레스를 입는 거지. 제멋대로 자라난 머리도 좀 자르고. 그럼 좀 눈에 띌 거야.,Birkac fikrim var... Biraz makyaj. Guzel bir elbise. O daginik saclari keseriz. Seni bambaska biri yapabiliriz.,
,"Oh, you want to know why I can talk? Don't ask stupid questions. It's unbecoming.",,Tu veux savoir pourquoi je sais parler ? Ne pose pas de questions idiotes. C'est inconvenant.,"Oh, vuoi sapere perché so parlare? Non fare queste domande stupide. Non si addicono a una signorina.","Oh, du willst wissen, warum ich sprechen kann? Stell keine dummen Fragen. Das ist unschicklich.","Ah, ¿quieres saber por qué puedo hablar? No preguntes tonterías. Está fuera de lugar.","Хочешь знать, почему я умею разговаривать? Не задавай глупые вопросы. Это невежливо.","Ah, quer saber por que eu consigo falar? Não faça perguntas tolas. É deselegante.",喔？妳想知道我為什麼會說話？別問這種蠢的問題了，太失體面了。,Neden konusabildigimi mi merak ediyorsun? Aptalca sorular sorma. Sana yakismiyor.,なぜ私がしゃべれるかって？くだらない質問ね。無作法よ。,내가 왜 말을 할 수 있는지 궁금하다고? 멍청한 질문은 하지 말고. 품위에 맞지 않아.,Neden konusabildigimi mi merak ediyorsun? Aptalca sorular sorma. Sana yakismiyor.,
,"Over and over...We move to some squalid new spot, and then some youngster starts making a mess.",,C'est toujours pareil... On arrive à un nouveau site sordide et un gamin met la pagaille.,La cosa continua a ripetersi... Ci trasferiamo in un nuovo squallido posto e arriva qualche nuovo giovinastro a fare casino.,"Immer und immer wieder ... Wir ziehen an einen schäbigen, neuen Ort, und dann fängt irgendein Jungspund an, Chaos zu stiften.",Siempre lo mismo... Conseguimos avanzar un poquito y llega alguna joven a liarla de nuevo.,"Каждый раз одно и то же... Мы забредаем в очередную дыру, и какая-нибудь юная особа начинает устраивать неприятности.","É sempre a mesma coisa... Mudamos para um lugar novo e imundo, e então algum jovem começa a criar confusão.",一次又一次…我們搬到某個骯髒又寒酸的新地方，接著又有個小鬼開始胡作非為，把一切搞得亂七八糟。,"Surekli ayni sey... Pis bir yere tasiniyoruz, sonra bir velet gelip ortaligi dagitiyor.",むさ苦しいところを転々として、そのたびに子どもにめちゃくちゃにされるのよ。,"여기 저기... 지저분한 새 집으로 이사를 다녔지, 그리고 애들이 집안을 어지르고.","Surekli ayni sey... Pis bir yere tasiniyoruz, sonra bir velet gelip ortaligi dagitiyor.",
,"That's a loaded gun. Remember, you need to release the safety before firing. Aim down the sight, that's a good girl.",,"C'est un pistolet chargé. N'oublie pas de retirer le cran de sûreté avant de tirer. Ajuste la ligne de mire, c'est bien.","Hai in mano una pistola carica. Ricorda, devi togliere la sicura prima di sparare. Mira un po' sotto la linea visiva. Così, brava.","Das ist eine geladene Waffe. Denke daran, dass du die Waffe vor dem Schießen entsichern musst. Ziel durch das Visier, braves Mädchen.",Esa pistola está cargada. No te olvides de quitar el seguro antes de disparar. Pero apunta abajo... ¡Buena chica!,"Это заряженный пистолет. Не забудь снять его с предохранителя перед стрельбой. И хорошенько прицелься, вот так.","Essa arma está carregada. Lembre-se, você precisa liberar a trava de segurança antes de atirar. Mire pela mira, isso aí!",那可是一把上了膛的槍。記住，開火之前要先解除保險。沿著準星瞄準，好孩子，妳做得很好。,"Bu dolu bir silah. Ates etmeden once emniyeti acman gerekiyor, unutma. Nisangâhtan bak, aferin sana.",それは弾がこめられた銃ね。撃つ前に安全装置を外してね。的を狙って…そう、いい子ね。,"그건 장전된 총이야. 쏘기 전에 꼭 안전장치를 풀도록 해. 그리고 조금 아래를 노려, 그래 잘한다.","Bu dolu bir silah. Ates etmeden once emniyeti acman gerekiyor, unutma. Nisangâhtan bak, aferin sana.",
,"What, are you going to stab me? I haven't recieved a blue ribbon in years. Do it. Without my fans, I am nothing...",,"Et alors, tu veux me poignarder ? Ça fait des années que j'ai pas gagné de flot bleu. Alors, vas-y. Sans mes fans, je ne suis rien...","Come, vuoi pugnalarmi? Fallo. È da troppo tempo che non ricevo una coccarda blu. Senza i mie fan, non sono niente...","Was, willst du mich abstechen? Ich habe seit Jahren kein blaues Band mehr bekommen. Tu es! Ohne meine Fans bin ich nichts ...","¿Es que pretendes apuñalarme? Hace años que no me conceden un galardón azul. Venga, hazlo. No soy nadie sin mis fans...",Хочешь меня зарезать? Мне уже столько лет не вручали синюю ленту. Так что милости прошу. Без поклонников я ничто...,"O quê, você vai me esfaquear? Faz anos que não sou premiada. Pode matar. Sem meus fãs, eu não sou nada...",怎麼？妳要捅我一刀嗎？我已經好多年沒拿過藍絲帶了。來吧，動手啊。沒有粉絲的我…就什麼都不是了…,"Ne, beni mi bicaklayacaksin? Yillardir mavi kurdele almadim. Hadi yap. Hayranlarim olmadan ben bir hicim...",え…私を刺す気？もう長いこと青いリボンをもらっていないし、やっていいわよ。ファンがいなかったら、私の存在価値なんてないもの…,뭐? 날 찌를 거야? 1등 리본을 못 받아본 지가 몇 년인지. 할 거면 해. 어차피 팬들 없이는 난 아무 것도 아냐...,"Ne, beni mi bicaklayacaksin? Yillardir mavi kurdele almadim. Hadi yap. Hayranlarim olmadan ben bir hicim...",
,"A baseball? What do you think I am, some sort of troglodyte? Get that horrid thing away from me.",,Une balle de baseball ? Tu me prends pour un troglodyte ? Dégage cette horreur de sous mon nez.,"Una palla da baseball? Per chi mi hai presa, per una sorta di troglodita? Porta quella orrida cosa lontano da me.",Ein Baseball? Hältst du mich für eine Art Höhlenmensch? Nimm dieses schreckliche Ding weg von mir.,"¿Una pelota de béisbol? ¿Quién te crees que soy, un troglodita? Aparta esa cosa horrible de mi vista.","Бейсбольный мяч? Ты что, принимаешь меня за какого-то неандертальца? Убери эту ужасную штуковину подальше.",Uma bola de beisebol? Está pensando que sou algum tipo de troglodita? Tire essa coisa horrível de perto de mim.,棒球？妳以為我是什麼？某種原始穴居人嗎？把那令人作嘔的東西拿的離我遠一點。,"Beyzbol topu mu? Beni ne sandin, magara adami mi? Su igrenc seyi uzaklastir benden.",野球のボール？私を野蛮人だとでも思っているの？私に近づけないで。,야구공? 내가 무슨 혈거인인줄 알아? 그 끔찍한 물건 저리 치워.,"Beyzbol topu mu? Beni ne sandin, magara adami mi? Su igrenc seyi uzaklastir benden.",
,The house is full of horrors. Midnight approaches. And you are cleaning? Your priorities are questionable.,,La maison est pleine d'horreurs. Il est presque minuit. Et tu fais le ménage ? Tes priorités sont discutables.,La casa è piena di orrori. La mezzanotte si avvicina e tu pensi a pulire? Hai delle priorità discutibili.,Das Haus ist voller Schrecken. Es ist fast Mitternacht. Und du putzt? Deine Prioritäten sind echt fragwürdig.,La casa está llena de cosas terribles. Se acerca la medianoche. ¿Qué haces limpiando? No entiendo tus prioridades.,Этот дом полон кошмаров. Полночь все ближе. А ты затеяла уборку? Твои приоритеты вызывают вопросы.,A casa está cheia de horrores. A meia-noite se aproxima. E você aí limpando? Suas prioridades são questionáveis.,這棟房子裡滿是駭人的恐怖之物。此時，午夜將至，而妳竟然還在打掃？妳的輕重緩急真令人擔憂。,Ev dehsetle dolu. Gece yarisi yaklasiyor. Ve sen temizlik mi yapiyorsun? Onceliklerin biraz tuhaf.,家は怖いことだらけ。やがて恐ろしい深夜が訪れる。なのにあなたは掃除しているの？あなた、優先順位がおかしいんじゃない？,이 집은 무서운 것들로 가득하지. 자정이 다가온다. 지금 청소를 하는 거야? 우선순위가 이상한 녀석이군.,Ev dehsetle dolu. Gece yarisi yaklasiyor. Ve sen temizlik mi yapiyorsun? Onceliklerin biraz tuhaf.,
,Oh? I haven't seen one of those in a while. My last ferrier was such a handsome man. He could shoe me in seconds. Sigh...,,Tiens ! Je n'en avais pas vu depuis longtemps. Mon dernier maréchal-ferrant était charmant. Il savait me ferrer en un clin d'œil. Soupir...,Oh? Era da tempo che non vedevo una di quelle. Il mio ultimo maniscalco era un uomo tanto bello. Mi curava gli zoccoli in pochi secondi. Sob...,Oh? So einen habe ich schon lange nicht mehr gesehen. Mein letzter Hufschmied war so ein hübscher Mann. Der konnte mich in null Komma nichts beschlagen. Seufz ...,"Vaya, hacía tiempo que no veía algo así. Mi último herrador era tan guapo. Me dejaba lista en un santiamén. Ains...",Хм. Давно я не видела подобной вещицы. Мой последний кузнец был таким красавчиком. Мог подковать меня за пару секунд. Эх...,Hã? Faz tempo que não vejo uma dessas. Meu último ferrador era um cara lindo. Ele colocava minha ferradura em segundos. Ai-ai...,喔？我可有一陣子沒見過那種人了呢。上一次替我修蹄的補蹄匠真是個英俊的男人，幾秒鐘就能為我釘好蹄鐵。唉…,Aa? Ondan uzun zamandir gormemistim. Son nalbantim cok yakisikli bir adamdi. Saniyeler icinde nallardi beni. Ah...,あら？それを見るのは久しぶりね。前の装蹄師はとてもハンサムな殿方だったの。一瞬で蹄鉄をつけてくれたのよ。はぁ…,오? 그거 오랜만에 보네. 내 마지막 편자 장인은 아주 잘생긴 남자였지. 순식간에 편자를 갈아주곤 했어. 하아...,Aa? Ondan uzun zamandir gormemistim. Son nalbantim cok yakisikli bir adamdi. Saniyeler icinde nallardi beni. Ah...,
,"Oh, you've been naughty. I may have burned down her house. But what you've done is much more sinister.",,"Oh, tu as été vilaine. J'ai peut-être réduit sa maison en cendres. Mais tes actes sont bien plus macabres.","Oh, sei stata cattiva. Avrò anche bruciato casa sua, ma quello che hai fatto tu è molto più malvagio.","Oh, du warst ungezogen. Ich habe vielleicht ihr Haus niedergebrannt. Aber was du getan hast, ist noch viel schlimmer.","Vaya, te has portado mal. Yo habré quemado la casa, pero lo tuyo es mucho más siniestro.","Ох, а ты та еще шалунья. Я, конечно, спалила ее дом. Но твой поступок куда чудовищнее.","Ah, que garota malvada. Talvez eu tenha incendiado a casa dela, mas o que você fez é muito mais sinistro.",喔？妳可真壞呢。我或許燒了她的房子，但妳做的事情可要陰險得多了。,Yaramazlik yapmissin. Ben onun evini yakmis olabilirim. Ama senin yaptigin cok daha korkunc.,あら、悪い子ね。私でもせいぜい彼女の家を燃やすくらいしかできないわ。あなたはそれよりずっと罪深いことをしたのよ。,말썽쟁이 같으니라고. 내가 집에 불을 냈을 지도 모르지. 하지만 네가 한 짓은 훨씬 더 사악해.,Yaramazlik yapmissin. Ben onun evini yakmis olabilirim. Ama senin yaptigin cok daha korkunc.,
,Cute toy. Good thing I have corporeal form. Can't get rid of me that easily.,,"Il est chouette, ce jouet. Heureusement que j'ai une forme corporelle. Tu ne peux pas te débarrasser de moi aussi facilement.",Che bel giocattolino. Meno male che la mia forma è corporea. Non puoi sbarazzarti di me facilmente.,"Niedliches Spielzeug. Gut, dass ich eine körperliche Form habe. So leicht wirst du mich nicht los.",Vaya juguetito. Me alegro de tener un cuerpo físico. Uno no se libra de mí tan fácilmente.,"Милая игрушка. Как хорошо, что у меня материальная форма. От меня так легко не избавиться.",Que brinquedinho fofo. Ainda bem que tenho forma corpórea. Não dá para se livrar de mim tão facilmente.,真是可愛的玩具呢。幸好我還擁有實體，可沒那麼容易就被妳甩掉呢。,Sevimli oyuncak. Iyi ki somut bir bedenim var. Benden o kadar kolay kurtulamazsin.,安っぽいおもちゃね。私には実体があるのよ。そう簡単に消せないわ。,그거 귀엽네. 아직 몸이 있어서 다행이야. 날 그렇게 쉽게 치우진 못할 거야.,Sevimli oyuncak. Iyi ki somut bir bedenim var. Benden o kadar kolay kurtulamazsin.,
,More food? I simply couldn't. I need to keep in good show form.,,Encore à manger ? Je ne pourrais vraiment pas. Je dois garder une silhouette digne des concours.,Altro cibo? Proprio non potrei. Devo mantenermi in forma da concorso.,Noch mehr Essen? Das könnte ich wirklich nicht. Ich muss meine gute Showfigur behalten.,¿Más comida? No podría. Tengo que mantenerme en forma para los concursos.,"Ещё еды? Нет, я просто не могу. Нужно держать себя в форме для выступлений.",Mais comida? Eu simplesmente não consigo. Preciso manter a forma para os concursos.,還要吃？我真的吃不下了。我得保持參賽時的好身材。,Daha fazla yemek mi? Asla. Formumu korumam lazim.,もっと食べるの？ とても無理よ。ショーに出られる体型を保たなくちゃ。,음식을 더? 정말 못 먹겠어. 대회에 나갈 몸매를 유지해야 하거든.,Daha fazla yemek mi? Asla. Formumu korumam lazim.,
,Knife,,Couteau,Coltello,Messer,Cuchillo,Нож,Faca,小刀,Bicak,ナイフ,나이프,Bicak,
,Baseball,,Balle de baseball,Palla da baseball,Baseball,Pelota de béisbol,Бейсбольный мяч,Beisebol,棒球,Beyzbol Topu,野球のボール,야구공,Beyzbol Topu,
,Sponge,,Éponge,Spugna,Schwamm,Esponja,Губка,Esponja,海綿,Sunger,スポンジ,스펀지,Sunger,
,Key,,Clé,Chiave,Schlüssel,Llave,Ключ,Chave,鑰匙,Anahtar,鍵,열쇠,Anahtar,
,Bell,,Clochette,Campana,Glocke,Campana,Колокольчик,Sino,鈴鐺,Zil,鈴,종,Zil,
,Banana,,Banane,Banana,Banane,Plátano,Банан,Banana,香蕉,Muz,バナナ,바나나,Muz,
,Pie,,Tarte,Torta,Kuchen,Pastel,Пирог,Torta,派,Turta,パイ,파이,Turta,
,More food?,,Encore à manger ?,Altro cibo?,Noch mehr Essen?,¿Más comida?,Ещё еды?,Mais comida?,還要吃的？,Daha fazla yemek mi?,もっと食べる？,음식 더?,Daha fazla yemek mi?,
,Task,,Tâche,Compito,Aufgabe,Tarea,Задание,Tarefa,任務,Gorev,タスク,과제,Gorev,
,Maid,,Domestique,Domestica,Dienstmädchen,Sirvienta,Горничная,Faxineira,女傭,Hizmetci,メイド,메이드,Hizmetci,
,"""Sponge""",,« Éponge »,"""Spugna""",„Schwamm“,"""Esponja""",«Губка»,"""Esponja""",「海綿」,"""Sunger""",「スポンジ」,"""스펀지""","""Sunger""",
,Reset,,Rouvrir,Reimposta,Zurücksetzen,Restablecer,Сбросить,Reiniciar,重置,Sifirla,リセット,초기화,Sifirla,
,Stab,,Poignarder,Pugnala,Stechen,Apuñalar,Уколоть,Apunhalar,桶,Bicakla,刺す,찌르기,Bicakla,
,Marnie,,Marnie,Marnie,Marnie,Marnie,Марни,Marnie,瑪妮,Marnie,マーニー,마니,Marnie,
,Drop,,Lâcher,Lascia,Fallen lassen,Soltar,Бросить,Soltar,丟棄,Birak,落とす,내려놓기,Birak,
,Four,,Quatre,Quattro,Vier,Cuatro,Четыре,Quatro,四,Dort,四,넷,Dort,
,Corrupt,,Corrompue,Corruzione,Korrupt,Corrupta,Порок,Corrupta,腐敗,Bozulmus,堕落者,타락,Bozulmus,
,Pure,,Pure,Purezza,Rein,Pura,Чистота,Pura,純潔,Saf,純粋,순수함,Saf,
,Exit,,Sortir,Esci,Verlassen,Salir,Выход,Sair,離開,Cikis,終了,나가기,Cikis,
,"You did it, Tabby! You killed Daddy! Or, whatever that thing was. We can make it through this, Tabby. I know it!",,"Tu as réussi, Tabby ! Tu as tué papa ! Enfin, ce qui se faisait passer pour lui. On peut surmonter ces événements, Tabby. J'en suis sûr.","Ce l'hai fatta, Tabby! Hai ucciso papà! O qualsiasi cosa fosse. Possiamo uscire da questo incubo, Tabby. Lo sento.","Du hast es geschafft, Tabby! Du hast Daddy getötet! Oder, was auch immer das Ding war. Wir können es schaffen, Tabby. Ich weiß es.","¡Lo has conseguido, Tabby! ¡Has matado a papá! O lo que fuera esa cosa. Podemos conseguirlo, lo sé.","Ты справилась, Табби! Ты убила папу! Ну, или кем бы оно ни было. Мы сможем дойти до конца, Табби. Даже не сомневаюсь.","Você conseguiu, Tabby! Você matou o papai! Ou seja lá o que for aquela coisa. Nós vamos superar isso, Tabby. Eu sei que vamos.",妳做到了，Tabby！妳殺了爸爸！或者說…不管那東西到底是什麼。我們一定能撐過去的，Tabby。我知道！,"Basardin, Tabby! Babayi oldurdun! Ya da neyse o sey. Bunu atlatabiliriz, Tabby. Biliyorum!",タビー、やったね！パパを殺した！あれが何だったにせよ…タビー、ぼくたちならきっと大丈夫さ。,"해냈구나, 태비! 아빠를 죽였어! 아니, 아빠의 모습을 한 무언가였나. 살아 남을 수 있어, 태비. 난 알 수 있어.","Basardin, Tabby! Babayi oldurdun! Ya da neyse o sey. Bunu atlatabiliriz, Tabby. Biliyorum!",
